ArticleLength,NumberOfImages,ReadingTime,NumberOfAuthors,NewsCategory
2.6968255575951336,3.0,5.20443171045322,2.7988003798361136,Technology
2.5209837563278357,4.0,1.3304405012278089,3.10287848898587,Sports
6.506546103280161,3.0,11.873208937250464,6.791918254027693,Technology
4.5770740022562,5.0,7.0137372430750515,4.900789214236669,Sports
7.942706650346494,3.0,14.315113011295598,8.23367042536537,Politics
3.366256774796049,5.0,0.5563664543427951,0.6781326112491053,Sports
2.6919077880297326,5.0,2.5753380843257636,2.1405929359724567,Sports
2.7226657642944443,1.0,9.199413401602044,6.25180316641614,Technology
2.561305896691024,2.0,4.931824665332773,1.5003229252565147,Sports
3.4551633788316822,5.0,4.1050291325969415,3.1800313680439434,Sports
2.057718848733478,5.0,0.9299632898502628,0.3722896993880056,Sports
2.8207772010556655,1.0,7.827060023901464,4.429727525489588,Sports
6.412463328317851,4.0,9.633103852436989,4.311883114973938,Technology
1.5620573728662244,2.0,0.7524435305748334,0.05986671745876304,Sports
2.713788921393099,5.0,2.169011560215411,3.4280659555499713,Sports
9.320057054199559,4.0,18.716826134422668,9.777700243963503,Politics
7.4335054729320555,1.0,16.83468756127231,7.325297382596174,Politics
2.8947632235344845,5.0,0.872935295663356,0.369804494446754,Sports
6.369655286204427,5.0,8.409440075179225,3.665925966883054,Sports
5.740159808938732,2.0,14.634363373765073,8.506690882547323,Politics
9.337173215570797,4.0,19.26148133411953,9.223147109734583,Politics
6.229743100013283,2.0,10.794051728249269,5.5871141444735635,Technology
5.329478106865207,5.0,6.901646638137077,3.677956069175556,Sports
4.567992024911835,1.0,13.361105280898979,7.504866508224205,Politics
5.886297831628929,1.0,15.401356251399795,8.97830499082162,Politics
4.350269977848853,1.0,13.26352465167304,8.137965993524615,Politics
2.60569986431316,4.0,4.023662315103872,4.973141866169833,Technology
8.307401186526217,1.0,18.96012135336311,8.668268758139057,Politics
7.130754271595981,2.0,14.53141583164707,6.440898832516826,Technology
8.099605874819723,3.0,18.419503052693656,9.185959694254453,Politics
3.7691568376177234,3.0,8.555201682883196,4.155383219447381,Technology
