article_count,has_video,author_count,is_editorial,content_quality_score,read_time_minutes,article_age_days,distance_from_main_topic,external_links_count,daily_page_views,comment_count,user_engagement_score,social_shares
34.0,1.0,9.0,1.0,0.2964640464866374,9.118026906579491,6.0,17.94387584279733,4.0,711.0,1.6610105731044515,0.31249102489325986,54.47179798017356
38.0,0.0,28.0,1.0,0.7046144795182541,6.987061778200381,36.0,0.7792187965112873,4.0,731.0,6.262419916375265,0.4684392625918587,66.07496334884716
35.0,0.0,4.0,1.0,0.08355801007301727,7.388847990139035,9.0,15.593622886713785,1.0,211.0,5.866047162781788,0.06979440829930794,55.35567457895179
49.0,1.0,21.0,0.0,0.48099979765137374,3.752699428460851,26.0,15.962027635766544,10.0,974.0,9.786609431463084,0.9336074741186493,0.9363928458284292
37.0,0.0,29.0,0.0,0.5822119434284001,1.5555852968418353,22.0,3.562060604824432,8.0,890.0,9.826148300818609,0.7226839557265943,6.263801101198638
24.0,0.0,16.0,1.0,0.6221378759612747,8.960487613781417,14.0,14.427687241002427,0.0,204.0,0.9509666279833953,0.35501705018913965,84.42316467351245
29.0,0.0,1.0,1.0,0.028901670319096795,7.018026469467333,1.0,17.766288670711585,0.0,143.0,2.5748041448699257,0.0968173949051665,66.08425054639484
39.0,1.0,2.0,1.0,0.1995369632475142,9.942989849047194,4.0,10.244105776749425,1.0,357.0,5.386128453943358,0.021546638531416917,94.29187796123162
41.0,0.0,10.0,1.0,0.3140009879549539,3.870317836406631,39.0,3.4005460964110146,1.0,163.0,6.11735287775428,0.8604089238323901,64.986438897937
36.0,0.0,20.0,0.0,0.7318379671694901,1.8408837459260856,28.0,6.349648031319112,1.0,340.0,2.0059280038121443,0.3766703500463054,61.5312930776893
33.0,0.0,7.0,0.0,0.25835884383234387,4.658949983982891,7.0,8.564057859101705,3.0,682.0,9.140701853913866,0.1885061926605032,62.101251258879984
38.0,0.0,5.0,0.0,0.09105594046166499,4.507553691619374,2.0,9.732200916053056,0.0,135.0,1.5563833733909442,0.3856884609033148,76.49183443599904
42.0,0.0,22.0,0.0,0.6571269552438258,1.3105542808263904,23.0,7.721920777273141,2.0,457.0,7.39128340480233,0.5394102069969078,15.96101325312381
30.0,0.0,4.0,0.0,0.10998079493642343,3.0758342784614046,3.0,10.224292467293413,1.0,162.0,2.5582231977035716,0.36491313570567163,57.632291496347555
44.0,1.0,7.0,1.0,0.43821247435048255,3.5450064589785906,5.0,9.964619341675174,2.0,535.0,4.764229174798983,0.627317508017316,41.927110699738954
36.0,1.0,15.0,1.0,0.41452451513538285,9.441761984218125,24.0,7.074750215303753,4.0,556.0,6.760269235334668,0.13942819782469162,74.80960045635717
33.0,0.0,4.0,0.0,0.0677336847984017,3.9944566027177224,16.0,15.102495491956061,0.0,128.0,6.835091197183707,0.32499295023860036,47.91899789876043
32.0,1.0,6.0,0.0,0.3668524411330325,7.417835127044131,21.0,8.379969395229704,3.0,526.0,3.6917405450858922,0.1861549597876136,91.661375695483
36.0,0.0,17.0,0.0,0.4482373360880113,4.565325278524604,41.0,6.3854104633484905,5.0,777.0,4.622195064366102,0.5312740379968802,76.01847897545004
43.0,1.0,15.0,0.0,0.5480397046948758,1.4271474356041827,34.0,5.864615009813059,9.0,961.0,7.305603916142251,0.8180102737344643,6.838186906409199
42.0,0.0,26.0,0.0,0.7572386246686105,0.020416451581724004,27.0,9.966152460315726,10.0,873.0,8.519029005209369,0.9963155522527427,9.162586777024622
29.0,1.0,0.0,1.0,0.003957726470096068,7.26151320357889,1.0,19.660026278844256,0.0,215.0,1.899428909335645,0.10919414261349963,88.04524171727371
